file,location,lng,lat,isInLine,action
77_苏轼.json,函谷关,110.891811,34.642735,FALSE,remove
79_苏辙.json,函谷关,110.891811,34.642735,FALSE,remove
77_苏轼.json,寒溪,114.87972,30.404601,FALSE,remove
6_宋之问.json,汉水,112.018112,32.081419,FALSE,remove
77_苏轼.json,合江楼,114.40954,23.091928,FALSE,remove
22_韩愈.json,合江亭,112.617869,26.911864,FALSE,remove
77_苏轼.json,何公桥,113.41177,24.168673,FALSE,remove
19_孟郊.json,衡山,112.719919,27.251829,FALSE,remove
22_韩愈.json,衡山,112.719919,27.251829,FALSE,remove
23_柳宗元.json,衡山,112.719919,27.251829,FALSE,remove
77_苏轼.json,洪泽湖,118.891424,33.267828,FALSE,remove
22_韩愈.json,鸿沟,113.46972,34.952229,FALSE,remove
103_释宗杲.json,虎丘,120.578985,31.335582,FALSE,remove
108_张元干.json,虎丘,120.578985,31.335582,FALSE,remove
137_叶适.json,虎丘,120.578985,31.335582,FALSE,remove
141_施宿.json,虎丘,120.578985,31.335582,FALSE,remove
149_吴文英.json,虎丘,120.578985,31.335582,FALSE,remove
51_丁谓.json,虎丘,120.578985,31.335582,FALSE,remove
77_苏轼.json,虎丘,120.578985,31.335582,FALSE,remove
6_宋之问.json,虎丘山,120.580931,31.33541,FALSE,remove
22_韩愈.json,华山,110.081899,34.527355,FALSE,remove
31_李贺.json,华山,110.081899,34.527355,FALSE,remove
41_皮日休.json,华山,110.081899,34.527355,FALSE,remove
45_郑谷.json,华山,110.081899,34.527355,FALSE,remove
50_寇准.json,华山,110.081899,34.527355,FALSE,remove
64_苏洵.json,华山,110.081899,34.527355,FALSE,remove
7_沈佺期.json,华山,110.081899,34.527355,FALSE,remove
77_苏轼.json,华山,110.081899,34.527355,FALSE,remove
88_晁补之.json,华山,110.081899,34.527355,FALSE,remove
9_王昌龄.json,华山,110.081899,34.527355,FALSE,remove
15_岑参.json,华严寺,108.991964,34.131401,FALSE,remove
19_孟郊.json,华严寺,108.991964,34.131401,FALSE,remove
40_罗隐.json,华严寺,108.991964,34.131401,FALSE,remove
39_贯休.json,怀玉山,117.97408,28.887027,FALSE,remove
19_孟郊.json,淮河,118.252512,32.986174,FALSE,remove
