file,location,lng,lat,city,province,country
77_苏轼.json,神女庙,110.130787,31.203944,巫山县,重庆市,中国
103_释宗杲.json,松江,121.22654,31.032409,松江区,上海市,中国
108_张元干.json,松江,121.22654,31.032409,松江区,上海市,中国
124_杨万里.json,松江,121.22654,31.032409,松江区,上海市,中国
130_丘崇.json,松江,121.22654,31.032409,松江区,上海市,中国
94_程俱.json,松江,121.22654,31.032409,松江区,上海市,中国
41_皮日休.json,天门,113.16614,30.66339,天门市,武汉省,中国
66_苏颂.json,天门,113.16614,30.66339,天门市,武汉省,中国
72_吕陶.json,铜梁,106.032665,29.812572,铜梁区,重庆市,中国
12_李白.json,托克马克,75.275853,42.826232,托克马克市,楚河州,吉尔吉斯斯坦
92_惠洪.json,万宁,110.38975,18.79532,万宁市,海南省,中国
45_郑谷.json,万州,108.40873,30.8079,万州区,重庆市,中国
59_富弼.json,万州,108.40873,30.8079,万州区,重庆市,中国
63_赵抃.json,万州,108.40873,30.8079,万州区,重庆市,中国
64_苏洵.json,万州,108.40873,30.8079,万州区,重庆市,中国
77_苏轼.json,万州,108.40873,30.8079,万州区,重庆市,中国
82_黄庭坚.json,万州,108.40873,30.8079,万州区,重庆市,中国
7_沈佺期.json,文昌,110.79774,19.54329,文昌市,海南省,中国
2_卢照邻.json,乌兰巴托北,106.927039,48.320006,Batsumber,Töv,蒙古
12_李白.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
13_杜甫.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
19_孟郊.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
40_罗隐.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
45_郑谷.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
46_崔涂.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
64_苏洵.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
7_沈佺期.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
77_苏轼.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
79_苏辙.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
82_黄庭坚.json,巫山,109.8788,31.07462,巫山县,重庆市,中国
19_孟郊.json,巫峡,109.913068,31.059249,巫山县,重庆市,中国
79_苏辙.json,西山,116.20368,39.972949,海淀区,北京市,中国
19_孟郊.json,仙桃,113.4545,30.36251,仙桃市,湖北省,中国
154_文天祥.json,徐水,121.436869,31.188259,徐汇区,上海市,中国
5_王勃.json,越南河内,105.836317,21.020867,栋多郡,河内,越南
13_杜甫.json,云阳,108.69698,30.93063,云阳县,重庆市,中国
131_王质.json,云阳,108.69698,30.93063,云阳县,重庆市,中国
77_苏轼.json,云阳,108.69698,30.93063,云阳县,重庆市,中国
79_苏辙.json,云阳,108.69698,30.93063,云阳县,重庆市,中国
82_黄庭坚.json,云阳,108.69698,30.93063,云阳县,重庆市,中国
13_杜甫.json,忠县,108.03767,30.30026,忠县,重庆市,中国
29_李德裕.json,忠县,108.03767,30.30026,忠县,重庆市,中国
63_赵抃.json,忠县,108.03767,30.30026,忠县,重庆市,中国
77_苏轼.json,忠县,108.03767,30.30026,忠县,重庆市,中国
79_苏辙.json,忠县,108.03767,30.30026,忠县,重庆市,中国
12_李白.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
13_杜甫.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
39_贯休.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
55_张先.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
64_苏洵.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
7_沈佺期.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
77_苏轼.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
79_苏辙.json,重庆,106.55073,29.56471,渝中区,重庆市,中国
